slug,bandcamp_url,actual_track_count,status
the-renegades-of-punk---cora--o-metr-nomo,https://therenegadesofpunk.bandcamp.com/album/cora-o-metr-nomo,12,updated
bratislava---um-pouco-mais-de-sil-ncio,https://bratislavabr.bandcamp.com/album/um-pouco-mais-de-sil-ncio,12,updated
astrophysics---vanilla-deathwish,https://astrophysicsbrazil.bandcamp.com/album/vanilla-deathwish,12,updated
edif-cio-garagem---carteiro,https://edificiogaragem.bandcamp.com/album/carteiro,12,updated
bikini-hunters-rivotril-sensations,https://bikinihunters.bandcamp.com/album/rivotril-sensations,4,updated
bruno-fleming-cama-mole,https://bruno-fleming.bandcamp.com/album/bruno-fleming-cama-mole,10,updated
verjault-violet,https://verjault.bandcamp.com/album/violet-2,6,updated
banda-de-pau-e-corda---sonhos-de-uma-noite-de-s-o-jo-o,https://bandadepauecorda.bandcamp.com/album/sonhos-de-uma-noite-de-s-o-jo-o,3,updated
bonifrate-mundo-encoberto,https://bonifrate.bandcamp.com/album/mundo-encoberto-2,8,updated
bikinis-bikinis,https://bikinis.bandcamp.com/album/bikinis,12,updated
erotic-travelers-erotic-travelers,https://erotictravelers.bandcamp.com/album/erotic-travelers,8,updated
cabaret-rock-demo,https://cabaretrock.bandcamp.com/album/demo,4,updated
todos-contra-um---rebelde-tsunami-tropical,https://todoscontraum.bandcamp.com/album/rebelde-tsunami-tropical,14,updated
afro-hooligans-preludio-ep,https://fluxxx.bandcamp.com/album/f-11-afro-hooligans-prel-dio-ep,3,updated
agnosi-untitled-2015,https://agnosimusic.bandcamp.com/album/untitled,2,updated
amandinho-rugby-japones,https://transtorninhorecords.bandcamp.com/album/rugby-japon-s,11,updated
analog-idiocracy-2015,https://analoghc.bandcamp.com/album/idiocracy,6,updated
velha-velha,https://midsummermadness.bandcamp.com/album/velha,8,updated
arabesco-caracol-2015,https://arabesco.bandcamp.com/album/caracol,5,updated
austin-beneath-faith-2015,https://austinofficial.bandcamp.com/album/beneath-the-faith,4,updated
germano-da-silva---solil-quio,https://germanodasilva.bandcamp.com/album/solil-quio,2,updated
billy-ponzio-space-jazz-2015,https://billyponzio.bandcamp.com/album/space-jazz,7,updated
borealis-borealis-2015,https://borealis1.bandcamp.com/album/borealis-2,10,updated
jadsa-big-buraco,https://jadsa.bandcamp.com/album/big-buraco,12,updated
brutamonte-modesto-2015,https://brutamonte.bandcamp.com/album/modesto,5,updated
